"Issue Type","Summary","Description","Initiative","Epic Name","Parent Summary","Runtime Scope","Risk (P0-P3)","Migration Phase (A-D)","ADR Ref","Blocking Dependencies","Rollback Strategy","Observability Requirement","Constraint Test Required","Security Review Required","Exit Criteria Ref","Architecture Constraint Ref","Audit Requirement","Replay Safety Required","Feature Freeze Exempt","Runbook Required","DRI","Secondary Owner","Approval Owner","Labels","Priority","Lifecycle State","Change Risk Score","Rollback Verified","Constraint Test ID"
"Initiative","Platform Transition Program","Plattformweite technische Transition mit Governance-Modell.","Platform Transition Program","","","","","","","","","","","","","","","","","","","platform","Highest","","","PROPOSED","LOW","false",""
"Epic","Security Baseline Hardening","Sichere Defaults und Schutz der Expositionsflächen.","Platform Transition Program","Security Baseline Hardening","","","","","","","","","EXIT-SECURITY","","","","","","","security","Highest","","","","","PROPOSED","LOW","false",""
"Epic","QA/CI Determinism","Deterministische Tests und belastbare Release-Gates.","Platform Transition Program","QA/CI Determinism","","","","","","","","","EXIT-QA","","","","","","","qa","Highest","","","","","PROPOSED","LOW","false",""
"Epic","ADR & Governance","Verbindliche Architektur- und Betriebsentscheidungen.","Platform Transition Program","ADR & Governance","","","","","","","","","EXIT-ADR","","","","","","","architecture","High","","","","","PROPOSED","LOW","false",""
"Epic","Runtime Split","Bot/API/Webhook/Worker/Scheduler getrennt betreiben.","Platform Transition Program","Runtime Split","","","","","","","","","EXIT-RUNTIME","","","","","","","runtime","High","","","","","PROPOSED","LOW","false",""
"Story","API Auth Enforcement","PUBLIC_API_TOKEN außerhalb development verpflichtend; Startup-Fail ohne Token.","Platform Transition Program","Security Baseline Hardening","Security Baseline Hardening","api","P0","","ADR-SEC-001","","Feature-Flag ALLOW_INSECURE_API temporär rücksetzbar","Auth failures, unauthorized attempts","Yes","Yes","EXIT-SECURITY","AC-API-AUTH","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","security,week1,critical-path","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ACAPIAUTH"
"Story","Session Hardening","Secure cookies, proxy trust, session secret rotation policy.","Platform Transition Program","Security Baseline Hardening","Security Baseline Hardening","api","P1","","ADR-SEC-002","","Env toggle nur für local dev","Session config metrics, auth error logs","Yes","Yes","EXIT-SECURITY","AC-SESSION-BOUNDARY","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","security,week1","Highest","PROPOSED","HIGH","false","ARCH-TEST-ACSESSIONBOUNDARY"
"Story","Test DB Isolation","DB pro Worker/Suite, single-init guard, lock-free test runtime.","Platform Transition Program","QA/CI Determinism","QA/CI Determinism","worker","P0","","ADR-QA-001","","Temporär serial mode runInBand","Test stability metrics, lock error counters","Yes","No","EXIT-QA","AC-NO-SHARED-DB","No","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","qa,week1,critical-path","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ACNOSHAREDDB"
"Story","Clock/UUID Abstractions","Deterministische Zeit/IDs für Event-/Projection-Tests.","Platform Transition Program","QA/CI Determinism","QA/CI Determinism","worker","P1","","ADR-QA-002","Test DB Isolation","Adapter fallback auf native providers","Flaky rate metrics, deterministic seed logs","Yes","No","EXIT-QA","AC-DETERMINISTIC-TESTS","No","Yes","Yes","No","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","qa,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACDETERMINISTICTESTS"
"Story","Release Gates","CI-Gates: tests, contract checks, migration checks, smoke runs.","Platform Transition Program","QA/CI Determinism","QA/CI Determinism","api","P1","","ADR-QA-003","Test DB Isolation; Clock/UUID Abstractions","Gate can be staged warn->enforce","Pipeline pass/fail KPIs","Yes","Yes","EXIT-QA","AC-CI-GATES","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","qa,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACCIGATES"
"Story","ADR-001 Persistence","PostgreSQL + SQL-first repository strategy finalisieren.","Platform Transition Program","ADR & Governance","ADR & Governance","api","P1","","ADR-001","","ADR rollback path dokumentiert","Decision audit trail","No","No","EXIT-ADR","AC-PERSISTENCE-DECISION","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","architecture,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACPERSISTENCEDECISION"
"Story","ADR-002 Runtime Split","Zielruntimes, ownership, deployment boundaries definieren.","Platform Transition Program","ADR & Governance","ADR & Governance","runtime","P1","","ADR-002","ADR-001 Persistence","ADR supersession strategy","Decision audit trail","No","No","EXIT-ADR","AC-RUNTIME-BOUNDARIES","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","architecture,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACRUNTIMEBOUNDARIES"
