"External Key","Issue Type","Summary","Description","Initiative Key","Epic Key","Parent External Key","Runtime Scope","Risk","Migration Phase","ADR Ref","Architecture Constraint Ref","Blocking Dependencies","Rollback Strategy","Observability Requirement","Constraint Test Required","Security Review Required","Exit Criteria Ref","Audit Requirement","Replay Safety Required","Feature Freeze Exempt","Runbook Required","DRI","Secondary Owner","Approval Owner","Labels","Priority","Lifecycle State","Change Risk Score","Rollback Verified","Constraint Test ID"
"NIMA-INIT-001","Initiative","Platform Transition Program","Plattformweite technische Transition mit Governance-Modell.","","","","program","P1","","ADR-PROGRAM-001","ARCH-CONSTR-000","","Program-level rollback via staged rollout","program telemetry","Yes","Yes","EXIT-PROGRAM","Yes","No","No","Yes","DRI-TBD","SECONDARY-TBD","APPROVAL-TBD","initiative,platform","Highest","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTR000"
"NIMA-EPIC-SEC-001","Epic","Security Baseline Hardening","Sichere Defaults und Schutz der Expositionsflächen.","NIMA-INIT-001","","","api","P0","","ADR-SEC-000","ARCH-CONSTR-001","","Feature flags + soft-fail policy","security metrics","Yes","Yes","EXIT-SECURITY","Yes","Yes","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","epic,security","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ARCHCONSTR001"
"NIMA-EPIC-QA-001","Epic","QA/CI Determinism","Deterministische Tests und belastbare Release-Gates.","NIMA-INIT-001","","","worker","P0","","ADR-QA-000","ARCH-CONSTR-002","","serial fallback mode","pipeline metrics","Yes","No","EXIT-QA","No","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","epic,qa","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ARCHCONSTR002"
"NIMA-EPIC-ADR-001","Epic","ADR & Governance","Verbindliche Architektur- und Betriebsentscheidungen.","NIMA-INIT-001","","","runtime","P1","","ADR-ARCH-000","ARCH-CONSTR-003","","ADR supersession path","decision audit","Yes","Yes","EXIT-ADR","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","epic,architecture","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTR003"
"NIMA-EPIC-RUN-001","Epic","Runtime Split","Bot/API/Webhook/Worker/Scheduler getrennt betreiben.","NIMA-INIT-001","","","runtime","P1","","ADR-002","ARCH-CONSTR-004","","legacy start retained temporarily","runtime SLI","Yes","No","EXIT-RUNTIME","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","OPS-APPROVER-TBD","epic,runtime","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTR004"
"NIMA-STORY-SEC-001","Story","API Auth Enforcement","PUBLIC_API_TOKEN außerhalb development verpflichtend; Startup-Fail ohne Token.","NIMA-INIT-001","NIMA-EPIC-SEC-001","NIMA-EPIC-SEC-001","api","P0","","ADR-SEC-001","ARCH-CONSTR-API-AUTH","","ALLOW_INSECURE_API temporary rollback","auth failures and unauthorized attempts","Yes","Yes","EXIT-SECURITY","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","story,security,week1,critical-path","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ARCHCONSTRAPIAUTH"
"NIMA-STORY-SEC-002","Story","Session Hardening","Secure cookies, proxy trust, session secret rotation policy.","NIMA-INIT-001","NIMA-EPIC-SEC-001","NIMA-EPIC-SEC-001","api","P1","","ADR-SEC-002","ARCH-CONSTR-SESSION","","env-specific cookie fallback for local","session auth telemetry","Yes","Yes","EXIT-SECURITY","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","story,security,week1","Highest","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRSESSION"
"NIMA-STORY-QA-001","Story","Test DB Isolation","DB pro Worker/Suite, single-init guard, lock-free test runtime.","NIMA-INIT-001","NIMA-EPIC-QA-001","NIMA-EPIC-QA-001","worker","P0","","ADR-QA-001","ARCH-CONSTR-TEST-ISO","","runInBand fallback","db lock counters","Yes","No","EXIT-QA","No","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","story,qa,week1,critical-path","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ARCHCONSTRTESTISO"
"NIMA-STORY-QA-002","Story","Clock/UUID Abstractions","Deterministische Zeit/IDs für Event-/Projection-Tests.","NIMA-INIT-001","NIMA-EPIC-QA-001","NIMA-EPIC-QA-001","worker","P1","","ADR-QA-002","ARCH-CONSTR-DETERMINISM","NIMA-STORY-QA-001","fallback to native providers","flaky trend metrics","Yes","No","EXIT-QA","No","Yes","Yes","No","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","story,qa,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRDETERMINISM"
"NIMA-STORY-QA-003","Story","Release Gates","CI-Gates: tests, contract checks, migration checks, smoke runs.","NIMA-INIT-001","NIMA-EPIC-QA-001","NIMA-EPIC-QA-001","api","P1","","ADR-QA-003","ARCH-CONSTR-CI","NIMA-STORY-QA-001;NIMA-STORY-QA-002","warn->enforce staged","pipeline pass/fail KPIs","Yes","Yes","EXIT-QA","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","story,qa,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRCI"
"NIMA-STORY-ADR-001","Story","ADR-001 Persistence","PostgreSQL + SQL-first repository strategy finalisieren.","NIMA-INIT-001","NIMA-EPIC-ADR-001","NIMA-EPIC-ADR-001","api","P1","MIGRATION_PHASE=A","ADR-001","ARCH-CONSTR-PERSISTENCE","","ADR rollback/supersession documented","decision audit trail","No","No","EXIT-ADR","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","story,architecture,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRPERSISTENCE"
"NIMA-STORY-ADR-002","Story","ADR-002 Runtime Split","Zielruntimes, ownership, deployment boundaries definieren.","NIMA-INIT-001","NIMA-EPIC-ADR-001","NIMA-EPIC-ADR-001","runtime","P1","","ADR-002","ARCH-CONSTR-RUNTIME","NIMA-STORY-ADR-001","ADR supersession strategy","decision audit trail","No","No","EXIT-ADR","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","story,architecture,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRRUNTIME"
"NIMA-STORY-RUN-001","Story","Separate Entrypoints","start:bot/start:api/start:webhook/start:worker/start:scheduler.","NIMA-INIT-001","NIMA-EPIC-RUN-001","NIMA-EPIC-RUN-001","runtime","P1","","ADR-002","ARCH-CONSTR-RUNTIME","NIMA-STORY-ADR-002","legacy start script fallback","runtime startup metrics","Yes","No","EXIT-RUNTIME","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","OPS-APPROVER-TBD","story,runtime,week3,critical-path","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRRUNTIME"
"NIMA-STORY-RUN-002","Story","Health/Readiness","/healthz + readiness pro Runtime mit dependency checks.","NIMA-INIT-001","NIMA-EPIC-RUN-001","NIMA-EPIC-RUN-001","runtime","P1","","ADR-002","ARCH-CONSTR-HEALTH","NIMA-STORY-RUN-001","passive mode probes","service health SLI","Yes","No","EXIT-RUNTIME","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","OPS-APPROVER-TBD","story,runtime,week3","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRHEALTH"
"NIMA-STORY-ADR-003","Story","Constraint Test Baseline","Architecture constraint tests als CI-Baseline.","NIMA-INIT-001","NIMA-EPIC-ADR-001","NIMA-EPIC-ADR-001","api","P1","","ADR-003","ARCH-CONSTR-BASELINE","NIMA-STORY-ADR-001;NIMA-STORY-ADR-002","rule exceptions with expiry","constraint violations dashboard","Yes","Yes","EXIT-ADR","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","story,architecture,week3,governance","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRBASELINE"
"NIMA-TASK-SEC-001","Task","Implement fail-fast env check","assertEnvironment um PUBLIC_API_TOKEN Policy ergänzen.","NIMA-INIT-001","NIMA-EPIC-SEC-001","NIMA-STORY-SEC-001","api","P0","","ADR-SEC-001","ARCH-CONSTR-API-AUTH","","local-only override","auth policy logs","Yes","Yes","EXIT-SECURITY","No","No","Yes","No","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","task,security,week1","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ARCHCONSTRAPIAUTH"
"NIMA-TASK-SEC-002","Task","Enforce bearer auth in middleware","Auth disabled mode entfernen (außer explicit local opt-in).","NIMA-INIT-001","NIMA-EPIC-SEC-001","NIMA-STORY-SEC-001","api","P0","","ADR-SEC-001","ARCH-CONSTR-API-AUTH","NIMA-TASK-SEC-001","temporary local bypass","401/403 counters","Yes","Yes","EXIT-SECURITY","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","task,security,week1","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ARCHCONSTRAPIAUTH"
"NIMA-TASK-SEC-003","Task","Set secure cookie policy","secure=true prod; sameSite/httpOnly reviewed.","NIMA-INIT-001","NIMA-EPIC-SEC-001","NIMA-STORY-SEC-002","api","P1","","ADR-SEC-002","ARCH-CONSTR-SESSION","","local env fallback","session telemetry","Yes","Yes","EXIT-SECURITY","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","task,security,week1","Highest","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRSESSION"
"NIMA-TASK-QA-001","Task","Implement per-suite DB path","Test harness erstellt DB-Datei pro suite/worker.","NIMA-INIT-001","NIMA-EPIC-QA-001","NIMA-STORY-QA-001","worker","P0","","ADR-QA-001","ARCH-CONSTR-TEST-ISO","","serial fallback","db lock metrics","Yes","No","EXIT-QA","No","No","Yes","No","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","task,qa,week1","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ARCHCONSTRTESTISO"
"NIMA-TASK-QA-002","Task","Add test clock provider","Clock abstraction in services/workers verwenden.","NIMA-INIT-001","NIMA-EPIC-QA-001","NIMA-STORY-QA-002","worker","P1","","ADR-QA-002","ARCH-CONSTR-DETERMINISM","NIMA-TASK-QA-001","fallback system clock","flaky trend","Yes","No","EXIT-QA","No","Yes","Yes","No","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","task,qa,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRDETERMINISM"
"NIMA-TASK-QA-003","Task","Add UUID provider abstraction","Deterministische UUID source in tests einführen.","NIMA-INIT-001","NIMA-EPIC-QA-001","NIMA-STORY-QA-002","worker","P1","","ADR-QA-002","ARCH-CONSTR-DETERMINISM","NIMA-TASK-QA-001","fallback randomUUID","seed logs","Yes","No","EXIT-QA","No","Yes","Yes","No","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","task,qa,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRDETERMINISM"
"NIMA-TASK-QA-004","Task","Create CI gate workflow","Contract+smoke+migration+test gates als required checks.","NIMA-INIT-001","NIMA-EPIC-QA-001","NIMA-STORY-QA-003","api","P1","","ADR-QA-003","ARCH-CONSTR-CI","NIMA-TASK-QA-002;NIMA-TASK-QA-003","warn->enforce staged","pipeline SLO","Yes","Yes","EXIT-QA","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","task,qa,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRCI"
"NIMA-TASK-ADR-001","Task","Draft ADR-001","Optionen, Trade-offs, Entscheidung, rollback.","NIMA-INIT-001","NIMA-EPIC-ADR-001","NIMA-STORY-ADR-001","api","P1","MIGRATION_PHASE=A","ADR-001","ARCH-CONSTR-PERSISTENCE","","ADR update path","decision audit","No","No","EXIT-ADR","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","task,architecture,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRPERSISTENCE"
"NIMA-TASK-ADR-002","Task","Draft ADR-002","Runtime boundaries, deployment model, ownership matrix.","NIMA-INIT-001","NIMA-EPIC-ADR-001","NIMA-STORY-ADR-002","runtime","P1","","ADR-002","ARCH-CONSTR-RUNTIME","","ADR update path","decision audit","No","No","EXIT-ADR","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","task,architecture,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRRUNTIME"
"NIMA-TASK-RUN-001","Task","Split process entrypoints","Entrypoints + scripts + config pro runtime.","NIMA-INIT-001","NIMA-EPIC-RUN-001","NIMA-STORY-RUN-001","runtime","P1","","ADR-002","ARCH-CONSTR-RUNTIME","","legacy start fallback","startup metrics","Yes","No","EXIT-RUNTIME","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","OPS-APPROVER-TBD","task,runtime,week3","High","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRRUNTIME"
