"Title","Description","Team","Project","Initiative","Epic","Parent","State","Priority","Labels","Runtime Scope","Risk (P0-P3)","Migration Phase (A-D)","ADR Ref","Blocking Dependencies","Rollback Strategy","Observability Requirement","Constraint Test Required","Security Review Required","Exit Criteria Ref","Architecture Constraint Ref","Audit Requirement","Replay Safety Required","Feature Freeze Exempt","Runbook Required","DRI","Secondary Owner","Approval Owner","Lifecycle State","Change Risk Score","Rollback Verified","Constraint Test ID"
"Platform Transition Program","Plattformweite technische Transition mit Governance-Modell.","Platform","NiMa Transition","Platform Transition Program","","","","Urgent","initiative,platform","","","","","","","","","","","","","","","","","","","PROPOSED","LOW","false",""
"Security Baseline Hardening","Sichere Defaults und Schutz der Expositionsflächen.","Platform","NiMa Transition","Platform Transition Program","Security Baseline Hardening","","","Urgent","epic,security","","","","","","","","","EXIT-SECURITY","","","","","","","","","","PROPOSED","LOW","false",""
"QA/CI Determinism","Deterministische Tests und belastbare Release-Gates.","Platform","NiMa Transition","Platform Transition Program","QA/CI Determinism","","","Urgent","epic,qa","","","","","","","","","EXIT-QA","","","","","","","","","","PROPOSED","LOW","false",""
"ADR & Governance","Verbindliche Architektur- und Betriebsentscheidungen.","Platform","NiMa Transition","Platform Transition Program","ADR & Governance","","","High","epic,architecture","","","","","","","","","EXIT-ADR","","","","","","","","","","PROPOSED","LOW","false",""
"Runtime Split","Bot/API/Webhook/Worker/Scheduler getrennt betreiben.","Platform","NiMa Transition","Platform Transition Program","Runtime Split","","","High","epic,runtime","","","","","","","","","EXIT-RUNTIME","","","","","","","","","","PROPOSED","LOW","false",""
"API Auth Enforcement","PUBLIC_API_TOKEN außerhalb development verpflichtend; Startup-Fail ohne Token.","Platform","NiMa Transition","Platform Transition Program","Security Baseline Hardening","Security Baseline Hardening","Backlog","Urgent","story,security,week1,critical-path","api","P0","","ADR-SEC-001","","Feature-Flag ALLOW_INSECURE_API temporär rücksetzbar","Auth failures, unauthorized attempts","Yes","Yes","EXIT-SECURITY","AC-API-AUTH","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","PROPOSED","CRITICAL","false","ARCH-TEST-ACAPIAUTH"
"Session Hardening","Secure cookies, proxy trust, session secret rotation policy.","Platform","NiMa Transition","Platform Transition Program","Security Baseline Hardening","Security Baseline Hardening","Backlog","Urgent","story,security,week1","api","P1","","ADR-SEC-002","","Env toggle nur für local dev","Session config metrics, auth error logs","Yes","Yes","EXIT-SECURITY","AC-SESSION-BOUNDARY","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","PROPOSED","HIGH","false","ARCH-TEST-ACSESSIONBOUNDARY"
"Test DB Isolation","DB pro Worker/Suite, single-init guard, lock-free test runtime.","Platform","NiMa Transition","Platform Transition Program","QA/CI Determinism","QA/CI Determinism","Backlog","Urgent","story,qa,week1,critical-path","worker","P0","","ADR-QA-001","","Temporär serial mode runInBand","Test stability metrics, lock error counters","Yes","No","EXIT-QA","AC-NO-SHARED-DB","No","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","PROPOSED","CRITICAL","false","ARCH-TEST-ACNOSHAREDDB"
"Clock/UUID Abstractions","Deterministische Zeit/IDs für Event-/Projection-Tests.","Platform","NiMa Transition","Platform Transition Program","QA/CI Determinism","QA/CI Determinism","Backlog","High","story,qa,week2","worker","P1","","ADR-QA-002","Test DB Isolation","Adapter fallback auf native providers","Flaky rate metrics, deterministic seed logs","Yes","No","EXIT-QA","AC-DETERMINISTIC-TESTS","No","Yes","Yes","No","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","PROPOSED","HIGH","false","ARCH-TEST-ACDETERMINISTICTESTS"
"Release Gates","CI-Gates: tests, contract checks, migration checks, smoke runs.","Platform","NiMa Transition","Platform Transition Program","QA/CI Determinism","QA/CI Determinism","Backlog","High","story,qa,week2","api","P1","","ADR-QA-003","Test DB Isolation; Clock/UUID Abstractions","Gate can be staged warn->enforce","Pipeline pass/fail KPIs","Yes","Yes","EXIT-QA","AC-CI-GATES","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","PROPOSED","HIGH","false","ARCH-TEST-ACCIGATES"
"ADR-001 Persistence","PostgreSQL + SQL-first repository strategy finalisieren.","Platform","NiMa Transition","Platform Transition Program","ADR & Governance","ADR & Governance","Backlog","High","story,architecture,week2","api","P1","","ADR-001","","ADR rollback path dokumentiert","Decision audit trail","No","No","EXIT-ADR","AC-PERSISTENCE-DECISION","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","PROPOSED","HIGH","false","ARCH-TEST-ACPERSISTENCEDECISION"
