"External Key","Issue Type","Summary","Parent Jira ID","Parent External Key","Migration Phase","Risk","ADR Ref","Constraint Ref","Security Review Required","Lifecycle State","Change Risk Score","Rollback Verified","Constraint Test ID","Approval Owner"
"NIMA-TASK-SEC-001","Task","Implement fail-fast env check","","NIMA-STORY-SEC-001","","P0","ADR-SEC-001","ARCH-CONSTR-API-AUTH","Yes","PROPOSED","CRITICAL","false","ARCH-TEST-ARCHCONSTRAPIAUTH","SEC-APPROVER-TBD"
"NIMA-TASK-SEC-002","Task","Enforce bearer auth in middleware","","NIMA-STORY-SEC-001","","P0","ADR-SEC-001","ARCH-CONSTR-API-AUTH","Yes","PROPOSED","CRITICAL","false","ARCH-TEST-ARCHCONSTRAPIAUTH","SEC-APPROVER-TBD"
"NIMA-TASK-SEC-003","Task","Set secure cookie policy","","NIMA-STORY-SEC-002","","P1","ADR-SEC-002","ARCH-CONSTR-SESSION","Yes","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRSESSION","SEC-APPROVER-TBD"
"NIMA-TASK-QA-001","Task","Implement per-suite DB path","","NIMA-STORY-QA-001","","P0","ADR-QA-001","ARCH-CONSTR-TEST-ISO","No","PROPOSED","CRITICAL","false","ARCH-TEST-ARCHCONSTRTESTISO",""
"NIMA-TASK-QA-002","Task","Add test clock provider","","NIMA-STORY-QA-002","","P1","ADR-QA-002","ARCH-CONSTR-DETERMINISM","No","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRDETERMINISM",""
"NIMA-TASK-QA-003","Task","Add UUID provider abstraction","","NIMA-STORY-QA-002","","P1","ADR-QA-002","ARCH-CONSTR-DETERMINISM","No","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRDETERMINISM",""
"NIMA-TASK-QA-004","Task","Create CI gate workflow","","NIMA-STORY-QA-003","","P1","ADR-QA-003","ARCH-CONSTR-CI","Yes","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRCI","SEC-APPROVER-TBD"
"NIMA-TASK-ADR-001","Task","Draft ADR-001","","NIMA-STORY-ADR-001","MIGRATION_PHASE=A","P1","ADR-001","ARCH-CONSTR-PERSISTENCE","No","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRPERSISTENCE",""
"NIMA-TASK-ADR-002","Task","Draft ADR-002","","NIMA-STORY-ADR-002","","P1","ADR-002","ARCH-CONSTR-RUNTIME","No","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRRUNTIME",""
"NIMA-TASK-RUN-001","Task","Split process entrypoints","","NIMA-STORY-RUN-001","","P1","ADR-002","ARCH-CONSTR-RUNTIME","No","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRRUNTIME",""
"NIMA-TASK-RUN-002","Task","Add health/readiness endpoints","","NIMA-STORY-RUN-002","","P1","ADR-002","ARCH-CONSTR-HEALTH","No","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRHEALTH",""
"NIMA-TASK-ADR-003","Task","Build architecture constraint baseline","","NIMA-STORY-ADR-003","","P1","ADR-003","ARCH-CONSTR-BASELINE","Yes","PROPOSED","HIGH","false","ARCH-TEST-ARCHCONSTRBASELINE","SEC-APPROVER-TBD"
